raw_name,n_records,cluster_id,canonical_name,cluster_size,min_internal_score,chain_risk,violates_decision
Atomic Coffee Roasters,4,60,Atomic Cafe Coffee Roasters,2,100.0,False,False
BEI Coffee Roasters,4,66,BEI Coffee Roasters,2,100.0,False,False
Chu Bei,3,66,BEI Coffee Roasters,2,100.0,False,False
Ba Yang,2,68,Ba Yang Coffee,2,100.0,False,False
Ba Yang Coffee,2,68,Ba Yang Coffee,2,100.0,False,False
Backroads Coffee & Tea,1,74,Backroads Coffee and Tea,2,100.0,False,False
Backroads Coffee and Tea,1,74,Backroads Coffee and Tea,2,100.0,False,False
Badbeard's Microroastery,6,75,Badbeard's Microroastery,2,100.0,False,False
Badbeard’s Microroastery,2,75,Badbeard's Microroastery,2,100.0,False,False
Barrington Coffee Roasting Co.,59,88,Barrington Coffee Roasting Co.,2,100.0,False,False
Barrington Coffee Roasting,20,88,Barrington Coffee Roasting Co.,2,100.0,False,False
BeanFruit Coffee Co.,19,101,BeanFruit Coffee Co.,2,100.0,False,False
Beanfruit Coffee Co.,1,101,BeanFruit Coffee Co.,2,100.0,False,False
Bear Lake Coffee,35,104,Bear Lake Coffee,2,100.0,False,False
Bear Lake Coffee Co.,4,104,Bear Lake Coffee,2,100.0,False,False
Boyds Coffee,3,154,Boyds Coffee,2,100.0,False,False
Boyd Coffee,1,154,Boyds Coffee,2,100.0,False,False
Café Britt,4,181,Café Britt,2,100.0,False,False
Cafe Britt,1,181,Café Britt,2,100.0,False,False
Cafe Campesino,2,182,Cafe Campesino,2,100.0,False,False
Café Campesino,1,182,Cafe Campesino,2,100.0,False,False
Cafe Excellence,7,189,Cafe Excellence,2,100.0,False,False
Café Excellence,2,189,Cafe Excellence,2,100.0,False,False
Cafe Grumpy,23,192,Cafe Grumpy,2,100.0,False,False
Café Grumpy,3,192,Cafe Grumpy,2,100.0,False,False
Café Moto,3,194,Café Moto,2,100.0,False,False
Cafe Moto,2,194,Café Moto,2,100.0,False,False
Cafe P11,1,195,Cafe P11,2,100.0,False,False
Café P11,1,195,Cafe P11,2,100.0,False,False
Cafe Rey,1,198,Cafe Rey,2,100.0,False,False
Café Rey,1,198,Cafe Rey,2,100.0,False,False
Cafe de Impression,3,205,Cafe de Impression,2,100.0,False,False
Café de Impression,1,205,Cafe de Impression,2,100.0,False,False
Café Mystique Coffee,2,244,Café Mystique Coffee,2,100.0,False,False
Café Mystique,1,244,Café Mystique Coffee,2,100.0,False,False
Santos Coffee,2,245,Santos Coffee,2,100.0,False,False
Café Organico Mesa de Los Santos,1,245,Santos Coffee,2,100.0,False,False
Café Society Coffee,2,246,Café Society Coffee,2,100.0,False,False
Café Society,1,246,Café Society Coffee,2,100.0,False,False
Caldi Coffee,3,250,Caldi Coffee,2,100.0,False,False
Caldi Cafe,2,250,Caldi Coffee,2,100.0,False,False
Capricorn Coffees,4,261,Capricorn Coffees,2,100.0,False,False
Capricorn Coffee,2,261,Capricorn Coffees,2,100.0,False,False
Cherry Smile,3,285,Cherry Smile,2,100.0,False,False
Cherry Smile Specialty Coffee,1,285,Cherry Smile,2,100.0,False,False
Chromatic Coffee,10,294,Chromatic Coffee,2,100.0,False,False
Chromatic x Dripdash Collab,1,294,Chromatic Coffee,2,100.0,False,False
Coffee By Design,25,317,Coffee By Design,2,100.0,False,False
Coffee by Design,8,317,Coffee By Design,2,100.0,False,False
Coffee By The Grand,5,318,Coffee By The Grand,2,100.0,False,False
Coffee by the Grand,2,318,Coffee By The Grand,2,100.0,False,False
CoffeeAM,1,335,CoffeeAM.com,2,100.0,False,False
CoffeeAM.com,1,335,CoffeeAM.com,2,100.0,False,False
Coffeemaria,7,337,Coffeemaria,2,100.0,False,False
CoffeeMaria,3,337,Coffeemaria,2,100.0,False,False
Colibrije Specialty Coffee,4,345,Colibrije Specialty Coffee,2,100.0,False,False
Colobrije Specialty Coffee,2,345,Colibrije Specialty Coffee,2,100.0,False,False
Compelling & Rich,4,355,Compelling & Rich,2,100.0,False,False
Compelling & Rich Coffee,2,355,Compelling & Rich,2,100.0,False,False
Conscious Coffee,8,357,Conscious Coffee,2,100.0,False,False
Conscious Coffees,1,357,Conscious Coffee,2,100.0,False,False
Cooperativa de Café Boquete,1,360,Cooperativa de Productores de Café Boquete,2,100.0,False,False
Cooperativa de Productores de Café Boquete,1,360,Cooperativa de Productores de Café Boquete,2,100.0,False,False
Corvus Coffee Roasters,17,362,Corvus Coffee Roasters,2,100.0,False,False
Corvus Coffee,14,362,Corvus Coffee Roasters,2,100.0,False,False
Crimson Cup Coffee & Tea,3,369,Crimson Cup Coffee & Tea,2,100.0,False,False
Crimson Cup Coffee and Tea,2,369,Crimson Cup Coffee & Tea,2,100.0,False,False
D&M Coffee,2,379,D&M Coffee,2,100.0,False,False
D & M Coffee,1,379,D&M Coffee,2,100.0,False,False
DOMA Coffee Roasting Company,8,382,DOMA Coffee Roasting Company,2,100.0,False,False
Doma Coffee Roasting Company,2,382,DOMA Coffee Roasting Company,2,100.0,False,False
Dawn Isle Cafe Studio,2,395,Dawn Isle Cafe Studio,2,100.0,False,False
Dawn Isle Coffee Studio,1,395,Dawn Isle Cafe Studio,2,100.0,False,False
Desolate Cafe,7,410,Desolate Cafe,2,100.0,False,False
Desolate Café,3,410,Desolate Cafe,2,100.0,False,False
Diedrich Coffee,12,412,Diedrich Coffee,2,100.0,False,False
Diedrich Coffee Roasters,1,412,Diedrich Coffee,2,100.0,False,False
DoubleShot Coffee,1,432,DoubleShot Coffee Company,2,100.0,False,False
DoubleShot Coffee Company,1,432,DoubleShot Coffee Company,2,100.0,False,False
Duluth Coffee,3,442,Duluth Coffee Company,2,100.0,False,False
Duluth Coffee Company,3,442,Duluth Coffee Company,2,100.0,False,False
Dunn Brothers,2,444,Dunn Brothers,2,100.0,False,False
Dunn Bros. Coffee,1,444,Dunn Brothers,2,100.0,False,False
Durango Coffee Company,40,445,Durango Coffee Company,2,100.0,False,False
Durango Coffee,1,445,Durango Coffee Company,2,100.0,False,False
Eight O'Clock Coffee,8,454,Eight O'Clock Coffee,2,100.0,False,False
Eight O'Clock Coffee (Walmart),1,454,Eight O'Clock Coffee,2,100.0,False,False
El Gran Cafe,64,456,El Gran Cafe,2,100.0,False,False
El Gran Café,8,456,El Gran Cafe,2,100.0,False,False
El Tucan Estate,1,457,El Tucan Honduras Estate Coffee,2,100.0,False,False
El Tucan Honduras Estate Coffee,1,457,El Tucan Honduras Estate Coffee,2,100.0,False,False
Espresso Vivace,2,476,Espresso Vivace,2,100.0,False,False
Vivace Espresso,1,476,Espresso Vivace,2,100.0,False,False
Euphora Coffee,32,479,Euphora Coffee,2,100.0,False,False
Euphora,1,479,Euphora Coffee,2,100.0,False,False
Evie's Cafe,9,482,Evie's Cafe,2,100.0,False,False
Evie’s Cafe,1,482,Evie's Cafe,2,100.0,False,False
Fazenda Lagoa,1,491,Fazenda Lagoa do Morro,2,100.0,False,False
Fazenda Lagoa do Morro,1,491,Fazenda Lagoa do Morro,2,100.0,False,False
Fidalgo Bay Coffee,2,496,Fidalgo Bay Coffee,2,100.0,False,False
Fidalgo Coffee,2,496,Fidalgo Bay Coffee,2,100.0,False,False
Finca Idealista,2,500,Finca Idealista/Benjamin Weiner,2,100.0,False,False
Finca Idealista/Benjamin Weiner,2,500,Finca Idealista/Benjamin Weiner,2,100.0,False,False
First Colony Coffee & Tea,3,509,First Colony Coffee & Tea,2,100.0,False,False
First Colony Coffee & Teas,1,509,First Colony Coffee & Tea,2,100.0,False,False
Flavia Beverage Systems,4,513,Flavia Beverage Systems,2,100.0,False,False
Flavia,2,513,Flavia Beverage Systems,2,100.0,False,False
Fresh Coffee Beans & Tea House,2,535,Fresh Coffee Beans & Tea House,2,100.0,False,False
Fresh Coffee and Tea House,2,535,Fresh Coffee Beans & Tea House,2,100.0,False,False
Fumi Coffee,5,541,Fumi Coffee Company,2,100.0,False,False
Fumi Coffee Company,5,541,Fumi Coffee Company,2,100.0,False,False
George Howell Coffee Company,5,554,George Howell Coffee Company,2,100.0,False,False
George Howell Coffee,1,554,George Howell Coffee Company,2,100.0,False,False
Giv COFFEE,6,562,Giv COFFEE,2,100.0,False,False
Giv Coffee,3,562,Giv COFFEE,2,100.0,False,False
"Good Chance Biotechnology, Ltd.",4,569,"Good Chance Biotechnology, Ltd.",2,100.0,False,False
Good Chance Biotechnology,1,569,"Good Chance Biotechnology, Ltd.",2,100.0,False,False
Great Value (Wal-Mart),1,587,Great Value (Wal-Mart),2,100.0,False,False
Great Value (Walmart),1,587,Great Value (Wal-Mart),2,100.0,False,False
Green Mountain Coffee,175,590,Green Mountain Coffee,2,100.0,False,False
Green Mountain Coffee Roasters,11,590,Green Mountain Coffee,2,100.0,False,False
Greyfriar's Coffee and Tea,2,596,Greyfriar's Coffee and Tea,2,100.0,False,False
Greyfriar's Coffee & Tea,1,596,Greyfriar's Coffee and Tea,2,100.0,False,False
Heritage Coffee,3,630,Heritage Coffee Company,2,100.0,False,False
Heritage Coffee Company,3,630,Heritage Coffee Company,2,100.0,False,False
Hevla Coffee Company,3,631,Hevla Coffee Company,2,100.0,False,False
Hevla Coffee,2,631,Hevla Coffee Company,2,100.0,False,False
Holland Coffee Group,7,641,Holland Coffee Group,2,100.0,False,False
Holland Coffee,1,641,Holland Coffee Group,2,100.0,False,False
Hula Daddy Kona Coffee,47,657,Hula Daddy Kona Coffee,2,100.0,False,False
Hula Daddy,20,657,Hula Daddy Kona Coffee,2,100.0,False,False
Huzaza Cafe,1,661,Huzaza Cafe,2,100.0,False,False
Huzaza Café,1,661,Huzaza Cafe,2,100.0,False,False
Devon Plantations,1,676,India Devon Plantations,2,100.0,False,False
India Devon Plantations,1,676,India Devon Plantations,2,100.0,False,False
Intelligentsia Coffee,27,687,Intelligentsia Coffee,2,100.0,False,False
Intelligentsia Coffee Roasters,17,687,Intelligentsia Coffee,2,100.0,False,False
Island Joe's Coffee,6,699,Island Joe's Coffee,2,100.0,False,False
Island Joe's Gourmet Coffee,2,699,Island Joe's Coffee,2,100.0,False,False
JBC Coffee Roasters,514,703,JBC Coffee Roasters,2,100.0,False,False
JBC,1,703,JBC Coffee Roasters,2,100.0,False,False
Jacob's Estate Musicaffe Workshop,1,707,Jacob's Estate Musicaffe Workshop,2,100.0,False,False
Musicaffe Workshop,1,707,Jacob's Estate Musicaffe Workshop,2,100.0,False,False
Jampot Poorock Abbey,2,711,Jampot Poorrock Abbey,2,100.0,False,False
Jampot Poorrock Abbey,2,711,Jampot Poorrock Abbey,2,100.0,False,False
Java D'Oro,1,717,Java D'oro Gourmet Coffee,2,100.0,False,False
Java D'oro Gourmet Coffee,1,717,Java D'oro Gourmet Coffee,2,100.0,False,False
Jeremiah's Pick Coffee,5,721,Jeremiah's Pick Coffee,2,100.0,False,False
Jeremiah's Pick Gourmet Coffee,4,721,Jeremiah's Pick Coffee,2,100.0,False,False
Joe Van Gogh,4,728,Joe Van Gogh,2,100.0,False,False
Joe Van Gogh Coffee,2,728,Joe Van Gogh,2,100.0,False,False
Josuma Coffee,3,734,Josuma Coffee,2,100.0,False,False
Josuma Coffee Company,1,734,Josuma Coffee,2,100.0,False,False
Kakalove Cafe,308,753,Kakalove Cafe,2,100.0,False,False
Kakalove Café,3,753,Kakalove Cafe,2,100.0,False,False
Kaldi's Coffee Roasting,7,756,Kaldi's Coffee Roasting,2,100.0,False,False
Kaldi's Coffee,2,756,Kaldi's Coffee Roasting,2,100.0,False,False
Kauai Coffee Company,7,760,Kauai Coffee Company,2,100.0,False,False
Kauai Coffee,1,760,Kauai Coffee Company,2,100.0,False,False
Kean Coffee,22,763,Kean Coffee,2,100.0,False,False
Kéan Coffee,1,763,Kean Coffee,2,100.0,False,False
La Colombe,2,802,La Colombe,2,100.0,False,False
La Colombe Torrefaction,1,802,La Colombe,2,100.0,False,False
La Mill Coffee,2,808,La Mill Coffee,2,100.0,False,False
Lamill Coffee,2,808,La Mill Coffee,2,100.0,False,False
La Victoria Estate,1,810,Las Victorias Estate,2,100.0,False,False
Las Victorias Estate,1,810,Las Victorias Estate,2,100.0,False,False
Larry's Beans,1,816,Larry's Coffee,2,100.0,False,False
Larry's Coffee,1,816,Larry's Coffee,2,100.0,False,False
Lavazza,6,822,Lavazza,2,100.0,False,False
Lavazza for the Rivo system,2,822,Lavazza,2,100.0,False,False
Marcheur Roaster,2,883,Marcheur Roaster,2,100.0,False,False
Marcheur Roastery,1,883,Marcheur Roaster,2,100.0,False,False
Maxwell House,5,896,Maxwell House,2,100.0,False,False
Maxwell House Premium Cup,1,896,Maxwell House,2,100.0,False,False
Mellow Coffee,4,905,Mellow Coffee,2,100.0,False,False
Mellow Coffee & Tea,1,905,Mellow Coffee,2,100.0,False,False
Modern Times Coffee,8,923,Modern Times Coffee,2,100.0,False,False
Modern Times,2,923,Modern Times Coffee,2,100.0,False,False
Monte Alegre,2,932,Monte Alegre,2,100.0,False,False
Monte Alegre Natural,1,932,Monte Alegre,2,100.0,False,False
Noble Coffee Roasting,10,987,Noble Coffee Roasting,2,100.0,False,False
Noble Coffee Roastiing,1,987,Noble Coffee Roasting,2,100.0,False,False
North Pole Coffee Roasters,2,997,North Pole Coffee Roasters,2,100.0,False,False
North Pole Coffee Roasting,1,997,North Pole Coffee Roasters,2,100.0,False,False
Novo Coffee,10,1004,Novo Coffee,2,100.0,False,False
Novo Coffee Roasters,1,1004,Novo Coffee,2,100.0,False,False
Oliver's Custom Coffee,5,1020,Oliver's Custom Coffee,2,100.0,False,False
Oliver's Custom Coffees,1,1020,Oliver's Custom Coffee,2,100.0,False,False
Organic Coffee Company,1,1031,Organic Coffee Company,2,100.0,False,False
The Organic Coffee Co.,1,1031,Organic Coffee Company,2,100.0,False,False
Oro Caffe for the Singolo espresso system,2,1036,Oro Caffe for the Singolo espresso system,2,100.0,False,False
